voltage,temp,rel time,abs time,volt dif,ppm
10.59639,33.273926,369.672,46:36.4,-0.00001,-6.229
10.59639,33.354492,370.834,46:37.6,0.00000,-3.869
10.59639,33.193359,371.996,46:38.8,0.00000,-4.435
10.59639,33.193359,373.16,46:39.9,0.00000,-2.737
10.59639,33.032227,374.333,46:41.1,-0.00001,-4.719
10.59639,33.273926,375.504,46:42.3,0.00000,-3.964
10.59639,33.032227,376.667,46:43.4,0.00000,-3.020
10.59639,33.273926,377.829,46:44.6,0.00000,-3.775
10.59639,33.515625,378.992,46:45.8,0.00000,-3.964
10.59639,33.193359,380.156,46:46.9,-0.00001,-4.907
10.59639,33.193359,381.327,46:48.1,0.00000,-4.341
10.59639,33.112793,382.489,46:49.2,0.00000,-4.435
10.59639,33.273926,383.651,46:50.4,0.00000,-2.926
10.59639,33.435059,384.815,46:51.6,0.00000,-3.586
10.59639,33.032227,385.977,46:52.7,0.00000,-2.642
10.59639,33.273926,387.139,46:53.9,0.00000,-3.492
10.59639,33.676758,388.302,46:55.1,-0.00001,-4.907
10.59639,33.112793,389.465,46:56.2,0.00000,-2.642
10.59639,33.435059,390.628,46:57.4,0.00000,-1.038
10.59639,33.112793,391.788,46:58.5,0.00000,-1.982
10.59639,33.354492,392.952,46:59.7,0.00000,-2.737
10.59639,33.354492,394.115,47:00.9,0.00000,-1.227
10.59639,33.354492,395.277,47:02.0,0.00000,-2.076
10.59639,33.273926,396.44,47:03.2,0.00000,-1.604
10.59639,33.273926,397.601,47:04.4,0.00000,-2.076
10.59639,32.95166,398.763,47:05.5,0.00000,-3.114
10.59639,33.112793,399.927,47:06.7,-0.00001,-4.719
10.59639,33.273926,401.089,47:07.8,0.00000,-3.775
10.59639,33.193359,402.252,47:09.0,0.00000,-3.869
10.59639,33.273926,403.413,47:10.2,0.00000,-3.586
10.59639,33.193359,404.576,47:11.3,0.00000,-2.265
10.59639,33.354492,405.738,47:12.5,0.00000,-1.604
10.59639,33.273926,406.901,47:13.7,0.00000,-2.737
10.59639,33.918457,408.064,47:14.8,0.00000,-4.058
10.59639,33.193359,409.228,47:16.0,-0.00001,-4.907
10.59639,33.354492,410.389,47:17.1,-0.00001,-5.474
10.59639,32.871094,411.551,47:18.3,-0.00001,-4.907
10.59639,33.273926,412.713,47:19.5,0.00000,-4.435
10.59639,33.193359,413.877,47:20.6,-0.00001,-5.568
10.59639,33.354492,415.038,47:21.8,0.00000,-4.435
10.59639,33.273926,416.202,47:23.0,0.00000,-4.435
10.59639,33.435059,417.364,47:24.1,0.00000,-3.397
10.59639,33.273926,418.527,47:25.3,-0.00001,-5.190
10.59639,33.193359,419.689,47:26.4,-0.00001,-4.813
10.59639,33.515625,420.852,47:27.6,-0.00001,-5.474
10.59639,33.273926,422.014,47:28.8,-0.00001,-6.606
10.59639,33.273926,423.177,47:29.9,-0.00001,-5.851
10.59639,33.273926,424.339,47:31.1,-0.00001,-6.606
10.59639,33.193359,425.502,47:32.3,-0.00001,-5.285
10.59639,33.193359,426.663,47:33.4,-0.00001,-6.889
10.59639,33.273926,427.827,47:34.6,-0.00001,-6.417
10.59638,33.354492,428.99,47:35.7,-0.00001,-9.626
10.59639,34.160156,430.151,47:36.9,-0.00001,-7.078
10.59639,33.112793,431.314,47:38.1,-0.00001,-7.644
10.59639,33.354492,432.479,47:39.2,-0.00001,-7.455
10.59639,33.273926,433.649,47:40.4,-0.00001,-5.757
10.59639,33.273926,434.812,47:41.6,-0.00001,-6.512
10.59639,33.273926,435.974,47:42.7,-0.00001,-6.700
10.59639,33.193359,437.139,47:43.9,-0.00001,-5.002
10.59639,33.112793,438.309,47:45.1,-0.00001,-5.096
10.59639,33.273926,439.471,47:46.2,-0.00001,-6.606
10.59639,33.273926,440.634,47:47.4,-0.00001,-5.757
10.59639,33.193359,441.796,47:48.6,-0.00001,-5.002
10.59639,33.193359,442.96,47:49.7,-0.00001,-6.323
10.59639,33.273926,444.123,47:50.9,-0.00001,-6.229
10.59639,33.273926,445.283,47:52.0,0.00000,-4.624
10.59639,33.273926,446.446,47:53.2,0.00000,-4.624
10.59639,33.273926,447.608,47:54.4,0.00000,-3.964
10.59639,33.354492,448.772,47:55.5,0.00000,-3.869
10.59639,33.354492,449.934,47:56.7,-0.00001,-4.907
10.59639,33.193359,451.096,47:57.9,-0.00001,-4.907
10.59639,32.709961,452.258,47:59.0,-0.00001,-5.285
10.59639,32.629395,453.421,48:00.2,-0.00001,-6.229
10.59639,33.112793,454.584,48:01.3,-0.00001,-5.851
10.59639,33.032227,455.746,48:02.5,-0.00001,-6.984
10.59639,33.193359,456.908,48:03.7,-0.00001,-5.285
10.59639,33.354492,458.07,48:04.8,-0.00001,-4.719
10.59639,33.112793,459.232,48:06.0,0.00000,-3.869
10.59639,33.193359,460.395,48:07.2,-0.00001,-5.285
10.59639,33.193359,461.558,48:08.3,-0.00001,-5.851
10.59639,33.354492,462.731,48:09.5,0.00000,-4.247
10.59639,33.112793,463.891,48:10.7,-0.00001,-4.813
10.59639,33.112793,465.055,48:11.8,-0.00001,-7.172
10.59639,33.193359,466.217,48:13.0,-0.00001,-6.606
10.59639,33.193359,467.38,48:14.1,-0.00001,-5.851
10.59639,33.354492,468.554,48:15.3,-0.00001,-7.455
10.59639,33.193359,469.725,48:16.5,-0.00001,-5.662
10.59639,33.193359,470.888,48:17.6,-0.00001,-6.984
10.59639,33.193359,472.051,48:18.8,-0.00001,-5.474
10.59639,33.032227,473.222,48:20.0,-0.00001,-5.757
10.59639,33.273926,474.385,48:21.1,-0.00001,-7.078
10.59639,33.193359,475.546,48:22.3,-0.00001,-4.813
10.59639,32.790527,476.709,48:23.5,0.00000,-4.247
10.59639,32.709961,477.871,48:24.6,-0.00001,-6.040
10.59639,33.193359,479.034,48:25.8,-0.00001,-5.945
10.59639,32.95166,480.2,48:27.0,-0.00001,-5.474
10.59639,33.273926,481.37,48:28.1,-0.00001,-7.172
10.59638,32.629395,482.531,48:29.3,-0.00001,-8.399
10.59639,33.273926,483.694,48:30.5,-0.00001,-7.172
10.59638,33.112793,484.856,48:31.6,-0.00001,-8.493
10.59639,33.676758,486.018,48:32.8,-0.00001,-7.361
10.59638,33.193359,487.182,48:33.9,-0.00001,-8.210
10.59639,33.354492,488.355,48:35.1,-0.00001,-7.833
10.59639,33.273926,489.517,48:36.3,-0.00001,-7.361
10.59638,33.273926,490.678,48:37.4,-0.00001,-8.588
10.59638,33.193359,491.84,48:38.6,-0.00001,-9.154
10.59639,33.273926,493.004,48:39.8,-0.00001,-8.116
10.59639,33.515625,494.168,48:40.9,-0.00001,-6.134
10.59639,33.193359,495.328,48:42.1,-0.00001,-6.229
10.59639,33.596191,496.49,48:43.2,-0.00001,-6.889
10.59639,33.193359,497.653,48:44.4,-0.00001,-6.889
10.59639,33.354492,498.815,48:45.6,-0.00001,-6.229
10.59638,33.676758,499.979,48:46.7,-0.00001,-8.682
10.59638,33.193359,501.151,48:47.9,-0.00001,-9.437
10.59638,33.354492,502.313,48:49.1,-0.00001,-8.965
10.59638,33.193359,503.475,48:50.2,-0.00001,-9.815
10.59638,33.193359,504.637,48:51.4,-0.00001,-9.532
10.59638,33.273926,505.802,48:52.6,-0.00001,-8.305
10.59638,33.193359,506.974,48:53.7,-0.00001,-9.815
10.59638,33.193359,508.135,48:54.9,-0.00001,-11.985
10.59638,33.193359,509.3,48:56.1,-0.00001,-10.287
10.59638,33.354492,510.47,48:57.2,-0.00001,-8.305
10.59639,33.193359,511.633,48:58.4,-0.00001,-6.700
10.59639,33.354492,512.796,48:59.6,-0.00001,-7.267
10.59639,33.354492,513.958,49:00.7,-0.00001,-7.361
10.59639,33.193359,515.121,49:01.9,-0.00001,-6.606
10.59638,33.354492,516.283,49:03.0,-0.00001,-9.343
10.59638,33.435059,517.446,49:04.2,-0.00001,-9.154
10.59638,33.193359,518.607,49:05.4,-0.00001,-8.493
10.59638,33.515625,519.771,49:06.5,-0.00001,-9.626
10.59638,33.596191,520.933,49:07.7,-0.00001,-8.871
10.59639,33.273926,522.096,49:08.9,-0.00001,-7.455
10.59639,33.273926,523.259,49:10.0,-0.00001,-6.417
10.59639,33.112793,524.421,49:11.2,-0.00001,-8.116
10.59639,33.193359,525.583,49:12.3,-0.00001,-6.700
10.59639,33.193359,526.746,49:13.5,-0.00001,-6.700
10.59639,33.354492,527.908,49:14.7,-0.00001,-5.851
10.59639,33.273926,529.072,49:15.8,-0.00001,-5.757
10.59639,33.193359,530.233,49:17.0,-0.00001,-6.323
