pwmcount, residuebefore, residueafter,diff,scaling
5,1779,1879,100,0.2685
5,1921,1911,-10,-0.02685
5,1956,1948,-8,-0.02148
5,1989,2188,199,0.534315
5,2232,2330,98,0.26313
5,2375,2061,-314,-0.84309
5,2103,2047,-56,-0.15036
5,2091,1765,-326,-0.87531
5,1807,2212,405,1.087425
5,2255,1978,-277,-0.743745
5,2019,1747,-272,-0.73032
5,1792,2041,249,0.668565
5,2083,2072,-11,-0.029535
5,2115,2315,200,0.537
5,2359,2146,-213,-0.571905
5,2189,2128,-61,-0.163785
5,2172,2069,-103,-0.276555
5,2111,2311,200,0.537
5,2355,2034,-321,-0.861885
5,2077,1853,-224,-0.60144
5,1894,2036,142,0.38127
5,2079,1547,-532,-1.42842
5,1589,2306,717,1.925145
5,2348,2236,-112,-0.30072
5,2279,1475,-804,-2.15874
5,1518,1982,464,1.24584
5,2022,2226,204,0.54774
5,2269,1946,-323,-0.867255
5,1988,2145,157,0.421545
5,2190,1587,-603,-1.619055
5,1630,1845,215,0.577275
5,1887,2089,202,0.54237
5,2134,1755,-379,-1.017615
5,1794,2266,472,1.26732
5,2311,1723,-588,-1.57878
5,1764,2018,254,0.68199
5,2060,1891,-169,-0.453765
5,1938,2231,293,0.786705
5,2274,1797,-477,-1.280745
5,1838,2096,258,0.69273
5,2139,1827,-312,-0.83772
5,1869,1863,-6,-0.01611
5,1905,2368,463,1.243155
5,2411,2290,-121,-0.324885
5,2334,1547,-787,-2.113095
5,1588,2057,469,1.259265
5,2103,1727,-376,-1.00956
5,1767,1751,-16,-0.04296
5,1794,1839,45,0.120825
5,1879,1915,36,0.09666
5,1960,2159,199,0.534315
5,2203,2144,-59,-0.158415
5,2188,2082,-106,-0.28461
5,2126,1543,-583,-1.565355
5,1587,1901,314,0.84309
5,1946,1823,-123,-0.330255
5,1867,2180,313,0.840405
5,2223,2063,-160,-0.4296
5,2106,2000,-106,-0.28461
5,2042,1930,-112,-0.30072
5,1973,1855,-118,-0.31683
5,1897,2054,157,0.421545
5,2095,2192,97,0.260445
5,2236,1453,-783,-2.102355
5,1495,2019,524,1.40694
5,2062,1988,-74,-0.19869
5,2030,1879,-151,-0.405435
5,1922,1707,-215,-0.577275
5,1749,2321,572,1.53582
5,2364,1737,-627,-1.683495
5,1778,2296,518,1.39083
5,2339,2336,-3,-0.008055
5,2382,2111,-271,-0.727635
5,2156,1721,-435,-1.167975
5,1763,2119,356,0.95586
5,2162,1691,-471,-1.264635
5,1733,1946,213,0.571905
5,1989,1974,-15,-0.040275
5,2015,1895,-120,-0.3222
5,1944,1827,-117,-0.314145
5,1869,2078,209,0.561165
5,2121,2060,-61,-0.163785
5,2103,1987,-116,-0.31146
5,2028,1867,-161,-0.432285
5,1908,2002,94,0.25239
5,2046,2039,-7,-0.018795
5,2082,1647,-435,-1.167975
5,1692,2055,363,0.974655
5,2099,1783,-316,-0.84846
5,1825,1917,92,0.24702
5,1960,2163,203,0.545055
5,2207,2103,-104,-0.27924
5,2147,1766,-381,-1.022985
5,1807,2012,205,0.550425
5,2054,2153,99,0.265815
5,2195,2032,-163,-0.437655
5,2075,2165,90,0.24165
5,2207,1823,-384,-1.03104
5,1864,2120,256,0.68736
5,2163,1947,-216,-0.57996
5,1991,1819,-172,-0.46182
5,1863,2066,203,0.545055
5,2111,1527,-584,-1.56804
5,1569,2084,515,1.382775
5,2127,1705,-422,-1.13307
5,1746,1733,-13,-0.034905
5,1775,2294,519,1.393515
5,2338,1707,-631,-1.694235
5,1748,1479,-269,-0.722265
5,1523,1767,244,0.65514
5,1811,2329,518,1.39083
5,2374,1990,-384,-1.03104
5,2031,1799,-232,-0.62292
5,1841,1949,108,0.28998
5,1991,2080,89,0.238965
5,2125,2380,255,0.684675
5,2423,1775,-648,-1.73988
5,1815,2128,313,0.840405
5,2172,2062,-110,-0.29535
5,2106,1727,-379,-1.017615
5,1767,1711,-56,-0.15036
5,1755,1910,155,0.416175
5,1956,1691,-265,-0.711525
5,1731,1679,-52,-0.13962
5,1723,2393,670,1.79895
5,2431,2163,-268,-0.71958
5,2207,1885,-322,-0.86457
5,1932,1719,-213,-0.571905
5,1763,1863,100,0.2685
5,1903,1485,-418,-1.12233
5,1527,1739,212,0.56922
5,1780,1717,-63,-0.169155
5,1759,1903,144,0.38664
5,1948,1585,-363,-0.974655
5,1627,2099,472,1.26732
5,2143,1819,-324,-0.86994
5,1859,1813,-46,-0.12351
5,1855,2160,305,0.818925
5,2204,2043,-161,-0.432285
5,2085,1663,-422,-1.13307
5,1705,2018,313,0.840405
5,2062,1903,-159,-0.426915
5,1948,1727,-221,-0.593385
5,1767,2404,637,1.710345
5,2447,1651,-796,-2.13726
5,1695,1635,-60,-0.1611
5,1676,1723,47,0.126195
5,1765,1855,90,0.24165
5,1895,2151,256,0.68736
5,2195,2031,-164,-0.44034
5,2073,2068,-5,-0.013425
5,2111,1591,-520,-1.3962
5,1633,2152,519,1.393515
5,2196,1677,-519,-1.393515
5,1719,1658,-61,-0.163785
5,1702,1758,56,0.15036
5,1797,1909,112,0.30072
5,1954,1783,-171,-0.459135
5,1823,1662,-161,-0.432285
