pwmcount, residuebefore, residueafter,diff
5,1785,1781,-4
5,1815,2014,199
5,2060,1998,-62
5,2043,2306,263
5,2352,2014,-338
5,2060,1505,-555
5,1540,1976,436
5,2021,1458,-563
5,1493,2331,838
5,2377,1952,-425
5,1996,1767,-229
5,1803,2045,242
5,2090,1699,-391
5,1734,1685,-49
5,1721,1795,74
5,1831,2173,342
5,2218,1682,-536
5,1717,2128,411
5,2176,1950,-226
5,1996,2088,92
5,2136,1736,-400
5,1773,1775,2
5,1809,2090,281
5,2137,1889,-248
5,1925,2070,145
5,2116,1859,-257
5,1893,2189,296
5,2236,2179,-57
5,2227,1726,-501
5,1763,2372,609
5,2420,1986,-434
5,2033,2079,46
5,2126,1775,-351
5,1810,2064,254
5,2108,2189,81
5,2234,1841,-393
5,1877,2002,125
5,2050,1748,-302
5,1782,2269,487
5,2318,2161,-157
5,2208,1699,-509
5,1732,1934,202
5,1979,1872,-107
5,1907,1756,-151
5,1791,2162,371
5,2208,1703,-505
5,1736,2139,403
5,2186,2187,1
5,2232,2162,-70
5,2212,2203,-9
5,2250,1731,-519
5,1767,1731,-36
5,1766,2075,309
5,2120,1926,-194
5,1945,1961,16
5,2009,1910,-99
5,1930,2201,271
5,2248,1687,-561
5,1723,1905,182
5,1926,1793,-133
5,1827,1798,-29
5,1833,1530,-303
5,1567,2242,675
5,2292,1834,-458
5,1869,1645,-224
5,1679,2148,469
5,2195,1769,-426
5,1803,1546,-257
5,1581,1723,142
5,1759,1763,4
5,1797,1956,159
5,2003,1910,-93
5,1928,1868,-60
5,1903,1940,37
5,1985,1679,-306
5,1713,1561,-152
5,1599,1726,127
5,1763,2224,461
5,2272,1819,-453
5,1854,2001,147
5,2048,2041,-7
5,2086,1628,-458
5,1663,2227,564
5,2274,1819,-455
5,1853,1688,-165
5,1723,1690,-33
5,1724,2227,503
5,2274,1759,-515
5,1793,1702,-91
5,1735,1945,210
5,1989,2143,154
5,2190,1929,-261
5,1974,2156,182
5,2204,1844,-360
5,1879,2263,384
5,2310,1848,-462
5,1879,2098,219
5,2144,1899,-245
5,1920,2359,439
5,2406,1749,-657
5,1783,1661,-122
5,1697,2312,615
5,2357,1676,-681
5,1711,2384,673
5,2430,1622,-808
5,1656,1663,7
5,1699,1471,-228
5,1507,2136,629
5,2184,2059,-125
5,2108,2258,150
5,2304,1935,-369
5,1979,2091,112
5,2136,1690,-446
5,1724,2189,465
5,2236,2022,-214
5,2067,2066,-1
5,2112,2153,41
5,2200,2311,111
5,2358,1755,-603
5,1789,1946,157
5,1992,2188,196
5,2235,1468,-767
5,1503,1928,425
5,1974,2078,104
5,2125,1813,-312
5,1848,2171,323
5,2216,1778,-438
5,1813,2229,416
