voltage,temp,rel time,abs time
+9.03249768E+00,34.079590,297.837,2022-07-03 21:05:33.013466
+9.03249772E+00,34.321289,298.999,2022-07-03 21:05:34.176266
+9.03249784E+00,34.321289,300.161,2022-07-03 21:05:35.338327
+9.03249846E+00,34.160156,301.324,2022-07-03 21:05:36.501344
+9.03250049E+00,34.160156,302.49,2022-07-03 21:05:37.666467
+9.03250067E+00,34.160156,303.658,2022-07-03 21:05:38.835305
+9.03250147E+00,34.321289,304.822,2022-07-03 21:05:39.998784
+9.03250077E+00,34.160156,305.984,2022-07-03 21:05:41.160691
+9.03250050E+00,34.240723,307.146,2022-07-03 21:05:42.322697
+9.03250032E+00,34.240723,308.308,2022-07-03 21:05:43.485053
+9.03250061E+00,34.240723,309.471,2022-07-03 21:05:44.647434
+9.03250079E+00,34.401855,310.634,2022-07-03 21:05:45.810861
+9.03250057E+00,34.401855,311.797,2022-07-03 21:05:46.973446
+9.03250096E+00,34.160156,312.959,2022-07-03 21:05:48.136120
+9.03250140E+00,34.160156,314.121,2022-07-03 21:05:49.298213
+9.03250255E+00,34.240723,315.283,2022-07-03 21:05:50.459986
+9.03250313E+00,34.240723,316.446,2022-07-03 21:05:51.622828
+9.03250242E+00,34.321289,317.608,2022-07-03 21:05:52.785438
+9.03250218E+00,33.596191,318.783,2022-07-03 21:05:53.959525
+9.03250294E+00,34.321289,319.953,2022-07-03 21:05:55.129905
+9.03250357E+00,34.482422,321.117,2022-07-03 21:05:56.294331
+9.03250387E+00,34.160156,322.278,2022-07-03 21:05:57.454906
+9.03250409E+00,33.999023,323.441,2022-07-03 21:05:58.617760
+9.03250498E+00,33.757324,324.603,2022-07-03 21:05:59.780037
+9.03250400E+00,34.562988,325.765,2022-07-03 21:06:00.941893
+9.03250328E+00,33.676758,326.928,2022-07-03 21:06:02.105425
+9.03250338E+00,34.240723,328.091,2022-07-03 21:06:03.267876
+9.03250445E+00,34.240723,329.252,2022-07-03 21:06:04.429195
+9.03250401E+00,33.596191,330.416,2022-07-03 21:06:05.593313
+9.03250414E+00,33.515625,331.578,2022-07-03 21:06:06.755233
+9.03250458E+00,33.676758,332.742,2022-07-03 21:06:07.919178
+9.03250556E+00,34.240723,333.914,2022-07-03 21:06:09.090518
+9.03250256E+00,34.321289,335.076,2022-07-03 21:06:10.253033
+9.03250233E+00,34.160156,336.238,2022-07-03 21:06:11.415109
+9.03250215E+00,34.321289,337.401,2022-07-03 21:06:12.577538
+9.03250349E+00,34.321289,338.566,2022-07-03 21:06:13.742455
+9.03250429E+00,34.079590,339.735,2022-07-03 21:06:14.911918
+9.03250500E+00,34.240723,340.898,2022-07-03 21:06:16.075011
+9.03250562E+00,34.160156,342.06,2022-07-03 21:06:17.237214
