pwmcount, residuebefore, residueafter,diff,voltbefore,voltafter,voltdiff 
,,,0,0.000,0.000,0.000
5,2402,1762,640,1.935,1.419,0.516
,,,0,0.000,0.000,0.000
5,2100,2062,38,1.692,1.661,0.031
5,2279,1737,542,1.836,1.399,0.437
5,1883,1599,284,1.517,1.288,0.229
,,,0,0.000,0.000,0.000
5,1831,1509,322,1.475,1.216,0.259
5,2388,1700,688,1.924,1.369,0.554
5,1944,2186,-242,1.566,1.761,-0.195
5,2350,1875,475,1.893,1.510,0.383
,,,0,0.000,0.000,0.000
5,2025,1994,31,1.631,1.606,0.025
5,2114,2252,-138,1.703,1.814,-0.111
5,1741,1628,113,1.403,1.311,0.091
,,,0,0.000,0.000,0.000
5,1919,2008,-89,1.546,1.618,-0.072
5,1715,2000,-285,1.382,1.611,-0.230
5,1963,2144,-181,1.581,1.727,-0.146
5,2420,1930,490,1.950,1.555,0.395
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1793,1974,-181,1.444,1.590,-0.146
5,1983,2322,-339,1.597,1.871,-0.273
5,1714,1956,-242,1.381,1.576,-0.195
,,,0,0.000,0.000,0.000
5,2030,1750,280,1.635,1.410,0.226
5,2427,2356,71,1.955,1.898,0.057
5,1917,1745,172,1.544,1.406,0.139
,,,0,0.000,0.000,0.000
5,2112,1931,181,1.701,1.556,0.146
5,1893,1560,333,1.525,1.257,0.268
5,2124,1492,632,1.711,1.202,0.509
5,1600,1692,-92,1.289,1.363,-0.074
5,1903,1836,67,1.533,1.479,0.054
5,1837,2066,-229,1.480,1.664,-0.184
5,1817,1860,-43,1.464,1.498,-0.035
5,1645,1681,-36,1.325,1.354,-0.029
5,1901,2095,-194,1.531,1.688,-0.156
5,2327,1500,827,1.875,1.208,0.666
5,2091,1689,402,1.684,1.361,0.324
5,2027,2126,-99,1.633,1.713,-0.080
5,1799,1633,166,1.449,1.316,0.134
5,1563,2283,-720,1.259,1.839,-0.580
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1706,1782,-76,1.374,1.436,-0.061
5,1755,1712,43,1.414,1.379,0.035
5,2096,1482,614,1.689,1.194,0.495
5,1773,2178,-405,1.428,1.755,-0.326
5,1849,2043,-194,1.490,1.646,-0.156
,,,0,0.000,0.000,0.000
5,2330,1774,556,1.877,1.429,0.448
5,1807,1815,-8,1.456,1.462,-0.006
5,2100,1930,170,1.692,1.555,0.137
5,1800,1941,-141,1.450,1.564,-0.114
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1999,2044,-45,1.610,1.647,-0.036
5,1811,1709,102,1.459,1.377,0.082
,,,0,0.000,0.000,0.000
5,2200,1682,518,1.772,1.355,0.417
5,1705,1646,59,1.374,1.326,0.048
5,1768,1510,258,1.424,1.216,0.208
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1722,2184,-462,1.387,1.759,-0.372
,,,0,0.000,0.000,0.000
5,1640,1906,-266,1.321,1.535,-0.214
5,2030,1567,463,1.635,1.262,0.373
5,1837,2089,-252,1.480,1.683,-0.203
5,2018,2016,2,1.626,1.624,0.002
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1694,1643,51,1.365,1.324,0.041
5,2075,1720,355,1.672,1.386,0.286
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1749,1946,-197,1.409,1.568,-0.159
5,1862,2260,-398,1.500,1.821,-0.321
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2200,1676,524,1.772,1.350,0.422
,,,0,0.000,0.000,0.000
